"country","gwcode","ebma"
"Ukraine",369,0.309786273813173
"Bosnia and Herzegovina",346,0.149435723056162
"Thailand",800,0.0878731238876601
"Yemen",678,0.0822019965053662
"Egypt",651,0.0805321526878597
"Guinea",438,0.0467881591501454
"Turkey",640,0.0437529102580066
"India",750,0.0407533112093335
"Venezuela",101,0.0352739509654681
"Bangladesh",771,0.0336149842015524
"Libya",620,0.0330422160027573
"Afghanistan",700,0.0322840345267683
"Central African Republic",482,0.0296969798263874
"Honduras",91,0.0273599611762695
"Guinea-Bissau",404,0.0268056770430257
"Syria",652,0.0267597437081158
"Greece",350,0.0264527297589626
"Pakistan",770,0.0262299000458767
"Russia",365,0.0255896314825801
"Cote d'Ivoire",437,0.025433937350434
"Romania",360,0.0235960623945026
"Israel",666,0.0232628566154387
"Lebanon",660,0.0221427287524565
"Mali",432,0.0220942640528479
"Nigeria",475,0.0211384706479075
"Mauritania",435,0.019806169511864
"Cambodia",811,0.0194649599338009
"Georgia",372,0.0193972366504743
"Nepal",790,0.0193017271784661
"Fiji",950,0.0192865826389947
"Congo, DRC",490,0.0188253425615893
"Burundi",516,0.0181970338773875
"Madagascar",580,0.0173224529657171
"Kyrgyzstan",703,0.0171902456688091
"Tunisia",616,0.017084521332456
"Bulgaria",355,0.0160670577480856
"Sudan",625,0.0156384216449813
"Bahrain",692,0.0153843932904706
"Latvia",367,0.0146034338616632
"Ecuador",130,0.0142765458360081
"Eritrea",531,0.0139913183097489
"Macedonia",343,0.0136908688163707
"Niger",436,0.0135478198844892
"Algeria",615,0.0135239141981547
"Namibia",565,0.0127099053965273
"Liberia",450,0.0126530146372836
"Kazakhstan",705,0.012217640443179
"Jordan",663,0.0118288739793284
"Haiti",41,0.011817019667293
"Myanmar",775,0.0115443356432126
"Uganda",500,0.0113785575984989
"Armenia",371,0.0109701156793497
"Iran",630,0.0105633801029175
"Iceland",395,0.00971740670069521
"Czech Republic",316,0.00962206564027857
"Peru",135,0.00959501446860944
"Philippines",840,0.00934804650150067
"Brazil",140,0.00902017859784265
"Congo",484,0.00901742033701092
"Comoros",581,0.00855095530718053
"South Africa",560,0.00813626299260384
"Solomon Is.",940,0.00812223401672618
"Lithuania",368,0.00783732305841001
"Rwanda",517,0.00768767434420381
"Cyprus",352,0.00765198155927838
"Azerbaijan",373,0.00760248044316836
"Tajikistan",702,0.00750244328587391
"Chad",483,0.00745832380071054
"Lesotho",570,0.0073446275412492
"Zimbabwe",552,0.0073329576595782
"The Gambia",420,0.00719740869785668
"Uzbekistan",704,0.00659291139813789
"Dominican Republic",42,0.00633706080732754
"Argentina",160,0.00632553355669274
"Croatia",344,0.00632441173760656
"Guatemala",90,0.0062940886595404
"Sierra Leone",451,0.00627223881918149
"Paraguay",150,0.00618761713060867
"Moldova",359,0.00612232923001466
"Iraq",645,0.00591328619400722
"Kenya",501,0.00585248944691319
"Belgium",211,0.00581593838351735
"Ethiopia",530,0.00572497108762093
"Turkmenistan",701,0.00561134569693378
"Slovakia",317,0.00538319807015597
"Swaziland",572,0.00523058551870015
"Belarus",370,0.00507291112075225
"Burkina Faso",439,0.00504418668007423
"Equatorial Guinea",411,0.0048641014103602
"Djibouti",522,0.00485374856790766
"Qatar",694,0.00479052694399529
"Spain",230,0.00458629921190157
"France",220,0.004502631758033
"Suriname",115,0.00450202362646268
"China",710,0.00434929281642982
"Laos",812,0.00420497423729715
"Slovenia",349,0.00412285132306034
"Sweden",380,0.0040888037657838
"South Korea",732,0.00399971518917741
"Estonia",366,0.00397579642481605
"Malawi",553,0.00396629124422276
"Sri Lanka",780,0.00392943060005047
"Oman",698,0.00390988064878361
"Mozambique",541,0.00387367928276117
"Colombia",100,0.00386414959154169
"Belize",80,0.00383012505224545
"Benin",434,0.00379697207667007
"Ghana",452,0.00370662753464501
"United Arab Emirates",696,0.00362213597723804
"Poland",290,0.00361110837986178
"Barbados",53,0.00360438979011857
"Bahamas",31,0.00358097574108662
"Australia",900,0.00357088864687261
"Mexico",70,0.00349630312453864
"Mongolia",712,0.00339704158513254
"Germany",260,0.00339030292424158
"Luxembourg",212,0.0033797981674899
"Gabon",481,0.00337634411128884
"Mauritius",590,0.0033646551513058
"Togo",461,0.00320780707516632
"Nicaragua",93,0.00320541277842157
"Panama",95,0.0031721134884013
"Guyana",110,0.00317106150674717
"Portugal",235,0.0031585473002681
"Cape Verde",402,0.00314314035421814
"Denmark",390,0.0031219968812688
"Uruguay",165,0.00311627823050764
"Canada",20,0.00309035109168054
"Switzerland",225,0.00307652214793774
"Bolivia",145,0.00306483395988766
"Botswana",571,0.00303549441147677
"Kuwait",690,0.0029105939572911
"Finland",375,0.00289416906042317
"Senegal",433,0.00287191014978561
"Trinidad and Tobago",52,0.0028704689563156
"Chile",155,0.00286826118383299
"Bhutan",760,0.00280820286443673
"Cameroon",471,0.00279859197404353
"Cuba",40,0.00277829707560862
"New Zealand",920,0.00274075919228034
"Angola",540,0.00273383305770158
"Jamaica",51,0.00271182986813534
"Taiwan",713,0.00269072887005606
"Papua New Guinea",910,0.00268989668949093
"Vietnam",816,0.00267097342116218
"Malaysia",820,0.00263997825976447
"Norway",385,0.00263350529174189
"Saudi Arabia",670,0.00260247039506178
"Ireland",205,0.00258358062925745
"Netherlands",210,0.00258068416286017
"Singapore",830,0.00253871144893447
"Hungary",310,0.00248005547345864
"Morocco",600,0.00243161428268268
"Albania",339,0.0024078392675676
"Austria",305,0.00239320824729183
"Tanzania",510,0.00235226243729625
"United Kingdom",200,0.00227166348753849
"Italy",325,0.00220972108507855
"Indonesia",850,0.00214986704185705
"North Korea",731,0.00214333012237888
"Zambia",551,0.00206518265009314
"Japan",740,0.00201601655120887
"El Salvador",92,0.000925830095122038
"Costa Rica",94,0.000893734866740825
